"Date and Time Run 1","Time (s) Run 1","Force, 964-462 (N) Run 1","Acceleration - x, 964-462 (m/s²) Run 1","Acceleration - y, 964-462 (m/s²) Run 1","Acceleration - z, 964-462 (m/s²) Run 1","Acceleration - resultant, 964-462 (m/s²) Run 1","Force, 946-449 (N) Run 1","Acceleration - x, 946-449 (m/s²) Run 1","Acceleration - y, 946-449 (m/s²) Run 1","Acceleration - z, 946-449 (m/s²) Run 1","Acceleration - resultant, 946-449 (m/s²) Run 1","Force, 969-321 (N) Run 1","Acceleration - x, 969-321 (m/s²) Run 1","Acceleration - y, 969-321 (m/s²) Run 1","Acceleration - z, 969-321 (m/s²) Run 1","Acceleration - resultant, 969-321 (m/s²) Run 1","Force, 966-489 (N) Run 1","Acceleration - x, 966-489 (m/s²) Run 1","Acceleration - y, 966-489 (m/s²) Run 1","Acceleration - z, 966-489 (m/s²) Run 1","Acceleration - resultant, 966-489 (m/s²) Run 1"
03/29/2026 03:49:00 pm,0.480,-0.25,0.0,-0.1,9.8,9.8,-0.15,-0.3,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.490,-0.27,0.0,-0.1,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.500,-0.25,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.510,-0.26,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.95,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.520,-0.26,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.530,-0.26,0.0,0.0,9.8,9.8,-0.17,-0.3,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.540,-0.26,0.0,0.0,9.8,9.8,-0.17,-0.3,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.550,-0.26,0.0,0.0,9.8,9.8,-0.18,-0.4,-0.3,9.9,9.9,-0.29,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.560,-0.25,0.0,0.0,9.8,9.8,-0.18,-0.4,-0.2,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.570,-0.25,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.2,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.99,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.580,-0.25,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.590,-0.24,0.0,0.0,9.8,9.8,-0.18,-0.3,-0.3,9.9,9.9,-0.25,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
